"Gene"	"Variance"	"IQR"	"median"	"cor_TRIM39"	"cor_TMUB2"	"cor_EIF2B4"	"cor_DNAJC14"	"cor_C10orf76"	"cor_HDAC3"	"cor_ACAD9"	"cor_TLK2"	"cor_ERCC3"	"cor_CNOT10"	"cor_FCF1"	"cor_RBM45"	"cor_ZNF384"	"cor_SF3A3"	"cor_AGK"	"cor_SAP130"	"cor_PIAS1"	"cor_SLC4A1AP"	"cor_ZC3H14"	"cor_USP39"	"cor_ZKSCAN5"	"cor_MTMR14"	"cor_DDX50"	"cor_FTSJ2"	"cor_AMMECR1L"	"cor_ZNF346"	"cor_PRPF38A"	"cor_DHX16"	"cor_NOL7"	"cor_PIK3R4"	"cor_VPS33B"	"cor_MRPS5"	"cor_NUBP1"	"cor_CNOT4"	"cor_COG7"	"cor_CC2D1B"	"cor_GPATCH3"	"cor_ZNF143"	"cor_EDC3"	"cor_TTC31"
"FCF1"	0.64	0.91	11.73	0.88	0.65	0.73	0.75	0.85	0.74	0.83	0.66	0.87	0.85	1	0.88	0.86	0.87	0.87	0.87	0.84	0.82	0.84	0.83	0.79	0.83	0.87	0.68	0.88	0.8	0.86	0.86	0.85	0.88	0.71	0.82	0.82	0.87	0.82	0.81	0.87	0.86	0.89	0.87
"RBM45"	0.59	1.02	7.96	0.8	0.65	0.74	0.84	0.89	0.78	0.85	0.62	0.85	0.86	0.88	1	0.85	0.8	0.83	0.89	0.85	0.85	0.8	0.84	0.84	0.86	0.82	0.61	0.89	0.74	0.86	0.83	0.85	0.9	0.69	0.82	0.88	0.89	0.84	0.74	0.83	0.92	0.82	0.86
"ZNF384"	0.77	1.11	9.85	0.86	0.66	0.82	0.79	0.81	0.82	0.87	0.7	0.8	0.9	0.86	0.85	1	0.81	0.89	0.9	0.84	0.85	0.75	0.89	0.76	0.86	0.89	0.69	0.89	0.68	0.92	0.86	0.91	0.86	0.69	0.88	0.88	0.87	0.8	0.71	0.83	0.87	0.83	0.79
"SF3A3"	0.54	0.72	10.47	0.83	0.58	0.72	0.73	0.8	0.7	0.81	0.63	0.84	0.76	0.87	0.8	0.81	1	0.79	0.82	0.79	0.77	0.74	0.76	0.73	0.76	0.82	0.62	0.83	0.73	0.86	0.86	0.79	0.8	0.67	0.79	0.71	0.86	0.74	0.8	0.88	0.82	0.86	0.79
"AGK"	0.79	1.07	8.52	0.85	0.64	0.75	0.72	0.8	0.77	0.86	0.64	0.75	0.88	0.87	0.83	0.89	0.79	1	0.87	0.82	0.83	0.73	0.9	0.75	0.84	0.88	0.68	0.84	0.65	0.9	0.83	0.9	0.87	0.67	0.87	0.85	0.88	0.78	0.75	0.84	0.85	0.81	0.77
"SAP130"	0.7	0.93	9.51	0.89	0.66	0.83	0.81	0.88	0.82	0.85	0.73	0.86	0.89	0.87	0.89	0.9	0.82	0.87	1	0.85	0.88	0.79	0.92	0.81	0.87	0.91	0.7	0.94	0.7	0.91	0.9	0.93	0.87	0.71	0.91	0.9	0.88	0.83	0.72	0.84	0.92	0.85	0.85
"PIAS1"	0.57	0.78	9.49	0.85	0.69	0.77	0.76	0.85	0.83	0.77	0.68	0.81	0.8	0.84	0.85	0.84	0.79	0.82	0.85	1	0.85	0.75	0.79	0.77	0.84	0.82	0.7	0.83	0.77	0.85	0.84	0.82	0.84	0.76	0.84	0.83	0.88	0.82	0.76	0.85	0.85	0.83	0.83
"SLC4A1AP"	0.55	0.85	9.42	0.85	0.62	0.78	0.76	0.84	0.76	0.83	0.66	0.84	0.82	0.82	0.85	0.85	0.77	0.83	0.88	0.85	1	0.77	0.82	0.76	0.85	0.84	0.65	0.88	0.73	0.87	0.86	0.86	0.86	0.64	0.89	0.87	0.87	0.81	0.73	0.76	0.83	0.8	0.84
"ZC3H14"	0.53	0.9	9.95	0.78	0.53	0.62	0.77	0.78	0.64	0.75	0.56	0.77	0.77	0.84	0.8	0.75	0.74	0.73	0.79	0.75	0.77	1	0.72	0.77	0.73	0.72	0.51	0.8	0.8	0.72	0.78	0.72	0.84	0.61	0.68	0.77	0.81	0.84	0.7	0.76	0.77	0.84	0.86
"USP39"	0.83	1.29	8.92	0.84	0.61	0.77	0.74	0.78	0.77	0.83	0.66	0.74	0.89	0.83	0.84	0.89	0.76	0.9	0.92	0.79	0.82	0.72	1	0.74	0.84	0.9	0.67	0.88	0.62	0.89	0.83	0.94	0.86	0.66	0.91	0.88	0.81	0.75	0.66	0.8	0.87	0.78	0.8
"ZKSCAN5"	0.46	0.8	7.07	0.76	0.66	0.7	0.8	0.77	0.73	0.75	0.62	0.79	0.73	0.79	0.84	0.76	0.73	0.75	0.81	0.77	0.76	0.77	0.74	1	0.73	0.75	0.62	0.81	0.68	0.78	0.76	0.74	0.8	0.7	0.72	0.8	0.81	0.77	0.7	0.76	0.84	0.76	0.76
"MTMR14"	0.7	0.99	9.59	0.85	0.62	0.72	0.75	0.88	0.77	0.82	0.64	0.8	0.9	0.83	0.86	0.86	0.76	0.84	0.87	0.84	0.85	0.73	0.84	0.73	1	0.85	0.61	0.83	0.69	0.87	0.84	0.88	0.84	0.65	0.83	0.88	0.85	0.75	0.75	0.79	0.88	0.78	0.81
"DDX50"	0.7	1.02	9.64	0.89	0.72	0.84	0.72	0.85	0.83	0.83	0.71	0.81	0.9	0.87	0.82	0.89	0.82	0.88	0.91	0.82	0.84	0.72	0.9	0.75	0.85	1	0.75	0.88	0.69	0.92	0.87	0.91	0.83	0.71	0.88	0.83	0.85	0.77	0.75	0.83	0.87	0.81	0.8
"FTSJ2"	0.65	1.5	8.67	0.72	0.87	0.87	0.55	0.58	0.84	0.6	0.79	0.65	0.67	0.68	0.61	0.69	0.62	0.68	0.7	0.7	0.65	0.51	0.67	0.62	0.61	0.75	1	0.69	0.56	0.73	0.68	0.7	0.61	0.83	0.69	0.63	0.64	0.67	0.51	0.62	0.65	0.63	0.58
"AMMECR1L"	0.64	0.95	9.62	0.88	0.67	0.81	0.82	0.85	0.81	0.83	0.75	0.89	0.86	0.88	0.89	0.89	0.83	0.84	0.94	0.83	0.88	0.8	0.88	0.81	0.83	0.88	0.69	1	0.75	0.88	0.88	0.89	0.86	0.75	0.9	0.84	0.88	0.83	0.74	0.85	0.88	0.88	0.86
"ZNF346"	0.46	0.9	8.33	0.74	0.58	0.65	0.69	0.72	0.66	0.67	0.64	0.79	0.7	0.8	0.74	0.68	0.73	0.65	0.7	0.77	0.73	0.8	0.62	0.68	0.69	0.69	0.56	0.75	1	0.66	0.74	0.63	0.73	0.7	0.66	0.63	0.77	0.77	0.75	0.73	0.73	0.81	0.81
"PRPF38A"	0.77	1.22	10.25	0.88	0.69	0.84	0.75	0.83	0.84	0.88	0.71	0.82	0.89	0.86	0.86	0.92	0.86	0.9	0.91	0.85	0.87	0.72	0.89	0.78	0.87	0.92	0.73	0.88	0.66	1	0.88	0.92	0.87	0.73	0.9	0.86	0.9	0.78	0.76	0.84	0.9	0.82	0.8
"DHX16"	0.65	0.82	8.96	0.93	0.66	0.79	0.79	0.84	0.78	0.83	0.72	0.86	0.84	0.86	0.83	0.86	0.86	0.83	0.9	0.84	0.86	0.78	0.83	0.76	0.84	0.87	0.68	0.88	0.74	0.88	1	0.89	0.85	0.71	0.86	0.82	0.88	0.81	0.74	0.83	0.89	0.87	0.87
"NOL7"	0.94	1.33	9.83	0.9	0.65	0.79	0.73	0.81	0.81	0.86	0.72	0.76	0.92	0.85	0.85	0.91	0.79	0.9	0.93	0.82	0.86	0.72	0.94	0.74	0.88	0.91	0.7	0.89	0.63	0.92	0.89	1	0.85	0.66	0.91	0.89	0.84	0.77	0.68	0.81	0.88	0.81	0.78
"PIK3R4"	0.62	0.95	9.13	0.82	0.61	0.72	0.84	0.85	0.75	0.92	0.62	0.83	0.85	0.88	0.9	0.86	0.8	0.87	0.87	0.84	0.86	0.84	0.86	0.8	0.84	0.83	0.61	0.86	0.73	0.87	0.85	0.85	1	0.64	0.82	0.86	0.9	0.87	0.72	0.83	0.87	0.83	0.85
"VPS33B"	0.56	0.99	8.07	0.74	0.83	0.84	0.67	0.62	0.84	0.61	0.82	0.75	0.66	0.71	0.69	0.69	0.67	0.67	0.71	0.76	0.64	0.61	0.66	0.7	0.65	0.71	0.83	0.75	0.7	0.73	0.71	0.66	0.64	1	0.69	0.62	0.71	0.69	0.62	0.7	0.71	0.73	0.69
"MRPS5"	0.7	0.96	10.11	0.87	0.61	0.79	0.72	0.82	0.79	0.82	0.7	0.81	0.85	0.82	0.82	0.88	0.79	0.87	0.91	0.84	0.89	0.68	0.91	0.72	0.83	0.88	0.69	0.9	0.66	0.9	0.86	0.91	0.82	0.69	1	0.83	0.85	0.74	0.7	0.8	0.84	0.81	0.81
"NUBP1"	0.72	1.1	7.24	0.82	0.63	0.74	0.8	0.85	0.77	0.83	0.62	0.78	0.89	0.82	0.88	0.88	0.71	0.85	0.9	0.83	0.87	0.77	0.88	0.8	0.88	0.83	0.63	0.84	0.63	0.86	0.82	0.89	0.86	0.62	0.83	1	0.85	0.81	0.65	0.77	0.89	0.76	0.79
"CNOT4"	0.57	0.73	9.6	0.85	0.66	0.78	0.84	0.88	0.8	0.86	0.66	0.86	0.84	0.87	0.89	0.87	0.86	0.88	0.88	0.88	0.87	0.81	0.81	0.81	0.85	0.85	0.64	0.88	0.77	0.9	0.88	0.84	0.9	0.71	0.85	0.85	1	0.85	0.76	0.86	0.89	0.83	0.85
"COG7"	0.59	1	9.69	0.79	0.67	0.76	0.8	0.78	0.73	0.79	0.65	0.78	0.79	0.82	0.84	0.8	0.74	0.78	0.83	0.82	0.81	0.84	0.75	0.77	0.75	0.77	0.67	0.83	0.77	0.78	0.81	0.77	0.87	0.69	0.74	0.81	0.85	1	0.64	0.75	0.81	0.82	0.82
"CC2D1B"	0.48	0.96	6.69	0.78	0.56	0.6	0.65	0.76	0.63	0.69	0.53	0.77	0.7	0.81	0.74	0.71	0.8	0.75	0.72	0.76	0.73	0.7	0.66	0.7	0.75	0.75	0.51	0.74	0.75	0.76	0.74	0.68	0.72	0.62	0.7	0.65	0.76	0.64	1	0.83	0.76	0.75	0.77
"GPATCH3"	0.5	0.87	7.29	0.83	0.63	0.74	0.79	0.82	0.75	0.81	0.65	0.81	0.8	0.87	0.83	0.83	0.88	0.84	0.84	0.85	0.76	0.76	0.8	0.76	0.79	0.83	0.62	0.85	0.73	0.84	0.83	0.81	0.83	0.7	0.8	0.77	0.86	0.75	0.83	1	0.84	0.83	0.82
"ZNF143"	0.65	0.84	8.48	0.86	0.66	0.8	0.84	0.89	0.82	0.85	0.66	0.83	0.88	0.86	0.92	0.87	0.82	0.85	0.92	0.85	0.83	0.77	0.87	0.84	0.88	0.87	0.65	0.88	0.73	0.9	0.89	0.88	0.87	0.71	0.84	0.89	0.89	0.81	0.76	0.84	1	0.82	0.84
"EDC3"	0.57	0.88	9.95	0.84	0.57	0.69	0.72	0.79	0.69	0.81	0.66	0.85	0.82	0.89	0.82	0.83	0.86	0.81	0.85	0.83	0.8	0.84	0.78	0.76	0.78	0.81	0.63	0.88	0.81	0.82	0.87	0.81	0.83	0.73	0.81	0.76	0.83	0.82	0.75	0.83	0.82	1	0.85
"TTC31"	0.54	0.76	9.62	0.84	0.58	0.71	0.78	0.83	0.7	0.75	0.63	0.85	0.78	0.87	0.86	0.79	0.79	0.77	0.85	0.83	0.84	0.86	0.8	0.76	0.81	0.8	0.58	0.86	0.81	0.8	0.87	0.78	0.85	0.69	0.81	0.79	0.85	0.82	0.77	0.82	0.84	0.85	1
